,Request ID,Request Submitted Date and Time,Request Priority,Request Category,Request Status,Request Resolved By
0,INC_10502,2016-04-01 14:05:00,3-Low,Request_Category_14,Open,Solver_72
1,INC_10501,2016-04-01 14:07:00,3-Low,Request_Category_243,Open,Solver_75
2,INC_10510,2016-04-01 14:10:00,3-Low,Request_Category_5,Open,Solver_18
3,INC_10508,2016-04-01 14:11:00,3-Low,Request_Category_168,Open,Solver_32
4,INC_10484,2016-04-01 14:13:00,3-Low,Request_Category_5,Open,Solver_106
5,INC_10512,2016-04-01 14:14:00,3-Low,Request_Category_144,Open,Solver_89
6,INC_10503,2016-04-01 14:16:00,3-Low,Request_Category_192,Open,Solver_76
7,INC_10511,2016-04-01 14:16:00,3-Low,Request_Category_27,Open,Solver_122
8,INC_10504,2016-04-01 14:23:00,3-Low,Request_Category_6,Open,Solver_20
9,INC_10506,2016-04-01 14:24:00,3-Low,Request_Category_80,Open,Solver_44
10,INC_10485,2016-04-01 14:27:00,3-Low,Request_Category_3,Open,Solver_55
11,INC_10483,2016-04-01 14:32:00,3-Low,Request_Category_242,Open,Solver_94
12,INC_10505,2016-04-01 14:37:00,3-Low,Request_Category_118,Open,Solver_87
13,INC_10491,2016-04-01 14:37:00,3-Low,Request_Category_27,Open,Solver_32
14,INC_10489,2016-04-01 14:39:00,3-Low,Request_Category_66,Open,Solver_68
15,INC_10493,2016-04-01 14:42:00,3-Low,Request_Category_27,Open,Solver_32
16,INC_10507,2016-04-01 14:45:00,3-Low,Request_Category_140,Open,Solver_15
17,INC_10487,2016-04-01 14:46:00,3-Low,Request_Category_33,Open,Solver_38
18,INC_10490,2016-04-01 14:54:00,3-Low,Request_Category_90,Open,Solver_81
19,INC_10486,2016-04-01 14:54:00,3-Low,Request_Category_20,Open,Solver_53
20,INC_10494,2016-04-01 14:56:00,3-Low,Request_Category_33,Open,Solver_38
21,INC_10509,2016-04-01 14:59:00,3-Low,Request_Category_8,Open,Solver_90
22,INC_10497,2016-04-01 14:59:00,3-Low,Request_Category_12,Open,Solver_18
23,INC_10488,2016-04-01 15:02:00,3-Low,Request_Category_75,Open,Solver_100
24,INC_10496,2016-04-01 15:02:00,3-Low,Request_Category_7,Open,Solver_70
25,INC_10495,2016-04-01 15:04:00,3-Low,Request_Category_34,Open,Solver_22
26,INC_10499,2016-04-01 15:12:00,3-Low,Request_Category_13,Open,Solver_40
27,INC_10498,2016-04-01 15:13:00,3-Low,Request_Category_24,Open,Solver_13
28,INC_10500,2016-04-01 15:38:00,3-Low,Request_Category_160,Open,Solver_81
29,INC_10492,2016-04-01 16:28:00,3-Low,Request_Category_14,Open,Solver_133
